FileName,md5Hash,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
sample54.exe,e9e4951444409f110e8f22073413b702,Machine7,1942,4764202,2,10,5639997,231,7065336,5,15888,16,247,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample55.exe,841576ce7d58b25867905d4736748486,Machine5,1522,4590034,1,10,5668332,474,7035252,6,7230,27,429,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample56.exe,afc9e73828d94c2dd085d75cba8f2f70,Machine1,1156,4577922,1,10,5345065,257,6664703,6,12126,51,311,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample57.exe,2fa4b045ada5185d52ebd3e34824bd12,Machine9,1781,4401949,4,11,5339507,167,6986148,7,8190,20,238,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample58.exe,f9641eae932e82f79d04915571774c3e,Machine6,1028,4405649,3,10,5329771,156,7059884,9,11216,42,1014,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample59.exe,fd212899ada74d33395506b3833649e4,Machine6,1045,5163043,1,10,5957987,303,6721237,8,13398,31,448,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample60.exe,babb5fd1a3b696ff4f26d4aee9e46ef4,Machine6,1557,4455288,2,11,5635241,475,6748785,4,14843,44,997,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample61.exe,fc0e9c57bb3eb8fa351e2096d8ebec89,Machine2,1696,5082387,3,10,5859578,179,6506230,8,10405,58,597,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample62.exe,4f1f70ad4c30a4b1060acf7eeb553651,Machine1,1308,5001104,1,10,5512855,401,6781439,7,5385,32,790,,1
sample63.exe,0f5c4346c51f11df5ab6a5c9f948cbf6,Machine1,828,5000727,2,10,6184189,190,6442184,9,16302,22,539,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample64.exe,6ed639267625ccfb07e9a5e13281b7b7,Machine1,705,4398732,1,11,6228712,179,7109231,6,8844,47,133,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample65.exe,d64f39aa7d48fa94e059f56a66ce1fcd,Machine1,1630,4231523,1,11,6002484,325,6999206,6,5493,18,1005,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample66.exe,14b130e4f70c40cab5e4745b56dcba2a,Machine1,1095,4397933,1,7,5964055,111,6522794,9,14742,33,163,,1
sample67.exe,1f55e25ad304484a2390885215eb6413,Machine8,1254,5093048,2,10,5448826,233,7031777,7,14893,17,1005,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample68.exe,a3f3c9e875d0e5e9bbab69e95ffdba8b,Machine7,1940,4318914,2,11,5754696,286,6807204,9,5921,48,931,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample69.exe,22f7ae71287a7e8c4e26b84d623c272c,Machine4,1419,5118740,1,10,5975593,168,6707268,6,4798,49,764,,0
sample70.exe,24033b70f36db9308c23af327f04ee15,Machine6,824,4439171,2,11,6016237,415,6352987,9,10756,54,744,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample71.exe,6f4e807431aeb991d00a89f0fbb28e9c,Machine5,1939,4599889,1,11,5911356,132,6333197,8,6981,20,323,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample72.exe,a1d63d2324527b14411ac3600b4f39b8,Machine4,1162,4410284,4,11,5833519,393,6389389,8,8829,46,284,,0
sample73.exe,a2e69871e75cb9e2a63358892be9e7c8,Machine5,1588,4524070,3,7,6203023,271,6532009,4,9292,20,731,,1
sample74.exe,cccbe7fa51bc035181cf73e54f3b5127,Machine6,1811,4578346,2,10,6091812,225,7094600,3,4777,31,891,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample75.exe,6afb9976d852a54ac9831fe926a1615d,Machine2,579,4283338,1,11,5576641,416,6773382,8,14732,37,265,,0
sample76.exe,ba5b123054fc72c31412559c53e08494,Machine4,583,4207141,1,10,5737054,145,6366558,9,12032,54,427,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample77.exe,6cab9b44457c958081d95f10bf64ba75,Machine7,1283,4882794,4,11,5580773,385,7234700,7,16069,26,771,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample78.exe,5208a7d2530430e3d33b0501bb4c9b59,Machine8,1319,4198952,1,10,5784362,350,7053922,5,5865,32,235,,1
sample79.exe,b9f9ffc485ce89190146b968a22a2c09,Machine5,1920,4573039,3,10,5660414,255,6768515,3,11617,18,598,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample80.exe,a1c6788ffb31c86693e51fb48fecaed5,Machine1,1185,4534043,2,11,5341696,331,6383848,5,6833,62,746,,0
sample81.exe,e00897efeb4d32bd4eba588752dfa793,Machine1,1534,4798084,4,10,5406675,383,6561296,6,16193,62,874,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample82.exe,b56253c07514ff0c94f1c54993bec476,Machine8,1348,4949427,1,7,5491590,129,6490373,3,14730,62,260,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample83.exe,9f55080c0be0bdac3d0572fd304802f5,Machine4,1594,4974998,1,7,5247709,226,7261736,6,10651,48,797,,0
sample84.exe,439ac91b158342b703d05d4c22ef5777,Machine4,521,5089957,1,10,5672003,172,7054775,6,11558,55,444,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample85.exe,b9cc74731cde58ddce6f5e50b20e6b06,Machine1,1860,4954915,4,10,5837087,175,6994845,9,6251,39,556,,0
sample86.exe,1f4e1dd8dbf515d16bea70bd61f1afee,Machine1,1844,5210654,2,11,5245725,197,6506165,8,8819,17,130,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample87.exe,1bac3a1180e018c97f913f30ac5672c5,Machine10,1653,4376327,3,11,5838864,306,7233814,7,12266,52,197,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample88.exe,fc4e1b5a288edf7a502782ee99a591e7,Machine5,1364,4266968,3,10,5793731,138,6877541,9,8646,41,687,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample89.exe,2f1095db7cf0ce202f6b324ee9d2b419,Machine5,863,5158488,1,10,5404954,367,7031319,9,7078,24,332,,1
sample90.exe,f4df61c07a3d5538113fc6e2b88b3a59,Machine6,1519,4260079,1,10,5787645,346,6693115,5,10353,63,785,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample91.exe,b04f0ec704243d3b46da9af24edf699d,Machine9,966,5126031,2,10,6284550,445,7081850,9,16127,43,207,,1
sample92.exe,aa7ee47c3128887104ab82b27a723924,Machine9,838,5007754,1,7,6181097,132,6562724,8,8551,16,824,,0
sample93.exe,fa032c36e802d10a9eddedbfd5bb2492,Machine1,1197,5053587,3,10,6204901,278,6577899,4,14120,51,681,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample94.exe,5d0cb9a449198fac648b9a2dd7800a85,Machine2,1930,4623181,2,11,5525771,140,6664379,7,4136,42,853,,0
sample95.exe,ccf5ba7a1dd483d86986c1619d2902b9,Machine6,1411,4560871,4,7,5377361,298,7187490,7,8286,63,744,,1
sample96.exe,e778c0b15c47f8f121dd96b1da1fbb7e,Machine10,1851,5232440,4,10,5253943,386,7248838,5,16379,58,643,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample97.exe,e68300aac7d77a864eee92d7cf5d20e8,Machine10,1807,5183461,2,11,5608317,250,7231878,7,11428,38,828,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample98.exe,8df4db1b985a35b4129284adef8388fe,Machine7,716,4440039,1,7,5645611,223,6979928,5,14434,47,942,,1
sample99.exe,ab23d3026e7d44757e2f6dd074a4a0b9,Machine2,813,5154706,3,10,6199619,175,6612556,7,14937,17,496,,1
sample100.exe,f84d19fe657095bb9208d87329296950,Machine5,1326,4365767,2,10,5517844,391,6788113,3,6043,45,287,,1
sample101.exe,1ebd261939d45d46ef196f97f1aecd05,Machine1,716,4440124,2,10,6074843,163,6354527,5,4792,19,582,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample102.exe,94753c843e9a64aac607ef1e287bcbf5,Machine5,769,4710424,1,10,5505535,360,6399536,4,11391,19,947,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample103.exe,41da0d7a084d522a36d90ae3378ded85,Machine8,578,4731040,3,7,6015607,277,6934309,9,5407,50,225,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample104.exe,1e47c6ddbd12f8bfa711b62a06f4646d,Machine8,1824,4590956,3,11,6272476,472,6536192,8,6960,52,303,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample105.exe,c6d2aec21b6cb97faf6fb2c5d1f44e45,Machine8,735,5070119,4,10,5378318,257,7179722,7,11243,58,395,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample106.exe,7076acd7f9ae3074872187a7baabecf6,Machine7,1769,5208948,4,7,6045966,291,6888049,8,14462,62,999,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample107.exe,f1818ea649ce0db303e6f2648585321f,Machine3,1615,5110888,2,7,5269584,417,6974316,9,8579,36,446,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample108.exe,511ca497aaddff047be61216b6bfacdb,Machine7,544,4633982,3,11,6208995,191,6626308,3,8695,57,776,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample109.exe,e9e171093981071237571e69d76683f3,Machine1,1010,4817263,1,7,5308863,211,7167583,8,5799,21,318,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample110.exe,d458d5fb7675142a86b1fc6ea2f7794c,Machine3,1937,4362356,1,7,5411189,311,6742972,4,9228,40,259,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample111.exe,14e1ce40111d9bb13bd26e7e7b3c4186,Machine8,610,4515812,2,11,6274790,460,6456959,9,15188,35,235,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample112.exe,6cec8e2ce9274de8daab02b374e94e81,Machine8,1040,5060586,2,7,6127659,190,7232010,7,7627,53,950,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample113.exe,d1ddcb89dc0e479d6dff40a4eabffb95,Machine3,549,4968464,3,7,6225051,126,6820637,7,9848,19,871,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample114.exe,3738f59606d2379b644f7e56985641e6,Machine7,1445,5059508,1,11,5676390,173,6353761,8,8562,35,297,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample115.exe,a30c7cddbe415091bad53540366bf543,Machine2,843,5003482,4,7,5811927,323,6510441,8,9135,39,438,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample116.exe,11e384ac65b9823ed8acd9ff0ab4ceb7,Machine4,1565,5189608,4,11,6263700,450,6456560,8,8505,46,409,,1
sample117.exe,9f1f91c13f42b6731b774b58d2a2d9f9,Machine8,1998,4778192,4,10,6288379,373,7079437,6,6293,46,1005,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample118.exe,7e6498f7238dcf6eb1027dadbfac5206,Machine1,1718,5169966,3,10,5540375,299,7311635,7,16236,41,518,,0
sample119.exe,f11a1a7829a8e95742d9a43383a37435,Machine6,1443,4660448,3,10,6001954,412,7061545,4,4620,23,199,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample120.exe,3edad8facb76858ff93e8cc9e2154236,Machine5,773,4885086,2,10,5999904,391,7337164,4,10223,58,872,,0
sample121.exe,a190487e65a4a9099fe54e616a3fd0ab,Machine6,1544,4310868,1,7,5770049,301,7183788,3,4753,28,477,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample122.exe,c3d7e11258c7cb3cd542682d3bb0f058,Machine6,1178,4509463,4,10,6288662,320,7125043,6,10663,20,894,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample123.exe,43ea28d68c52b5ab6270cc26abb2d49c,Machine4,1844,5131919,1,11,6228757,403,6972523,3,12191,43,678,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample124.exe,e4c1dc65ebd0d197b2bc7bdb9bbb5d2a,Machine9,736,4509868,3,11,6091193,148,6547600,9,13935,28,391,,0
sample125.exe,948091ff872539fad8d4a8d0b7fd9d41,Machine1,1162,4766291,1,11,5687876,475,6540792,3,9885,63,498,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample126.exe,c28d21b71bb2bcaeb8994f78b96b6f76,Machine2,579,5051511,4,11,5594925,217,7041022,7,10679,26,344,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample127.exe,69645f16ceab62cc213c7f692f194ca3,Machine6,574,4867639,1,10,5997544,167,6335218,9,6593,59,925,,1
sample128.exe,e1bed1b7f75e8fd7704673f14cbc6cfa,Machine5,1686,4470114,4,11,5762983,223,6623141,3,13605,62,435,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample129.exe,66701911ab523f6f80a98a65e2084231,Machine2,1178,4992411,3,10,6181656,299,6661646,5,13079,26,824,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample130.exe,89a57e08923e4e4f9a3522ba79d2b3dc,Machine6,1514,4725037,2,11,6072662,418,6832804,6,9101,59,427,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample131.exe,deefd25a11f4dc2631f9613b403c7676,Machine1,873,4709346,4,11,5257489,393,7191666,7,4232,22,944,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample132.exe,b306b7fee7f905c52cd9f218ccfe0dc8,Machine7,1684,4207953,2,10,6246324,105,6632580,5,6354,23,846,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample133.exe,4191df0a2bbbe11780f9b41fc045c61e,Machine9,926,4460247,4,10,5500378,197,6922226,4,16141,16,1002,,0
sample134.exe,7c07b5eea55f2fa0623d05b796ae2d8e,Machine9,1907,5045659,2,7,6131336,155,6652207,6,15750,50,554,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample135.exe,f811434576542b96a24ddd1262795e64,Machine7,1824,5238349,3,7,6253317,138,6399872,4,12699,48,848,,1
sample136.exe,83ff692f41299c75aaf2e85489571926,Machine4,1111,4587952,1,7,6182113,149,6893361,8,15525,39,367,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample137.exe,b3b4897d050e84f71c1b3dee35138f39,Machine5,1261,4909015,4,11,5878102,364,6605733,9,4515,16,257,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample138.exe,8a75fe4afab926a297535a43543aa9a5,Machine5,1371,4434782,4,11,5759226,222,7074046,4,16026,23,490,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample139.exe,4f2774c5091b8c9e1738edf12f2f7204,Machine4,804,4543877,4,11,5910098,293,6828491,7,10590,46,693,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample140.exe,3437bb79523105089fb860a9be20412c,Machine7,1907,5005689,3,7,5429002,422,7035692,5,5068,34,576,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample141.exe,ccf850c59b2a581ef3bc6ef39279d418,Machine6,1848,5165287,4,7,6261310,162,6772293,6,6445,48,883,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample142.exe,b36e8c0c378e54f2098dd6ffdc0a60bc,Machine10,1797,4879073,3,7,5932573,116,7070056,7,8016,18,511,,1
sample143.exe,e0ee7f62f0d54185751b323b7ac6fa26,Machine9,1271,5096305,2,11,5537931,289,6308334,3,15674,54,184,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample144.exe,7d061aab91628de15bdf8061f9f1f5cc,Machine2,971,4207586,1,10,5843102,294,7071504,6,11415,28,271,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample145.exe,9214ad1c6bcc9110a1b158c929447b34,Machine4,785,5031708,2,7,5808455,367,7107856,7,6910,16,464,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
sample146.exe,8a8fb85179235aec2d47854697502460,Machine9,1114,4484340,1,10,5803578,494,6407946,6,11506,24,328,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample147.exe,e0e96b4f048257a219816e15662d760b,Machine2,1682,4373569,1,11,5452766,120,6852101,6,4842,19,489,,0
sample148.exe,2507d5823100b550f30ecd8ef9b8de05,Machine6,1727,4212804,2,7,5601322,200,7281559,9,5064,29,788,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample149.exe,91757b8125612eb80fbaf3f34a735087,Machine9,950,5077717,4,11,5398485,370,6380463,7,12279,42,829,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample150.exe,89949913919e64aa325a53f13ee4e670,Machine1,1840,4811208,4,10,5921095,220,6972995,4,6608,19,319,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0
sample151.exe,dc9eadf2c85cb033e1b9b6bfb84646e6,Machine4,1147,4658940,2,11,5989017,152,6331558,9,15605,54,950,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1
sample152.exe,2085687b0a17041723ffb705a1db2d4f,Machine8,1191,5112178,3,11,5538284,257,6921200,4,15229,22,555,,1
sample153.exe,b8ca9892c598aa6245fb8f8029ff2bff,Machine2,744,5151649,1,7,6275894,489,7317778,9,9162,22,537,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample154.exe,163fae4f1d3b8b317f0c9bae1067c165,Machine8,1085,4404598,1,10,5493878,370,7084126,7,6031,36,256,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,0
sample155.exe,354e909f1f83b7d40c8a576dbef26804,Machine9,1995,4562403,1,7,5783891,214,6544848,6,12774,18,251,3J98t1WpEZ73CNmQviecrnyiWrnqRhW,1
